Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.66816E+12,11/11/2022 08:54,1.66816E+12,1,11/11/2022 09:54,102468,2,questionnaire-mq5s,,25177247,65,7435951,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1707x960,1707x960,,Debrief,2,178,No,,9161
1,1.66817E+12,11/11/2022 12:10,1.66817E+12,1,11/11/2022 13:10,102468,2,questionnaire-mq5s,,25184857,48,7361916,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1470x956,1470x840,,Debrief,2,173,No,,18635
1,1.66818E+12,11/11/2022 14:59,1.66818E+12,1,11/11/2022 15:59,102468,2,questionnaire-mq5s,,25188176,60,7401915,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x746,,Debrief,2,178,No,,11989
1,1.66818E+12,11/11/2022 15:31,1.66818E+12,1,11/11/2022 16:31,102468,2,questionnaire-mq5s,,25188960,66,7438377,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1200,1097x604,,Debrief,2,178,No,,46099
1,1.66818E+12,11/11/2022 15:33,1.66818E+12,1,11/11/2022 16:33,102468,2,questionnaire-mq5s,,25189003,7,7339168,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x768,,Debrief,2,168,No,,30109
1,1.66863E+12,16/11/2022 20:43,1.66863E+12,1,16/11/2022 21:43,102468,2,questionnaire-mq5s,,25283506,62,7428400,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,Debrief,2,188,No,,8988
1,1.66878E+12,18/11/2022 14:26,1.66878E+12,1,18/11/2022 15:26,102468,2,questionnaire-mq5s,,25327007,68,7475584,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x937,,Debrief,2,178,No,,15340
1,1.6688E+12,18/11/2022 18:30,1.6688E+12,1,18/11/2022 19:30,102468,2,questionnaire-mq5s,,25334067,67,7475583,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.42,1440x900,1393x781,,Debrief,2,168,No,,16988
1,1.66889E+12,19/11/2022 19:34,1.66889E+12,1,19/11/2022 20:34,102468,2,questionnaire-mq5s,,25345559,63,7429623,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 107.0,1920x1080,1920x915,,Debrief,2,173,No,,16829
1,1.66903E+12,21/11/2022 10:05,1.66903E+12,1,21/11/2022 11:06,102468,2,questionnaire-mq5s,,25365715,69,7475585,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1280x720,1280x720,,Debrief,2,188,No,,124616
1,1.66905E+12,21/11/2022 15:41,1.66905E+12,1,21/11/2022 16:41,102468,2,questionnaire-mq5s,,25377722,70,7479145,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.52,1280x720,1219x593,,Debrief,2,183,No,,32160
1,1.67042E+12,07/12/2022 13:31,1.67042E+12,1,07/12/2022 14:31,102468,2,questionnaire-mq5s,,25755206,19,7339180,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x622,,Debrief,2,183,No,,14869
1,1.6707E+12,10/12/2022 18:59,1.6707E+12,1,10/12/2022 19:59,102468,2,questionnaire-mq5s,,25850906,71,7636778,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x768,,Debrief,2,173,No,,11556
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
