"","id","contrast","totalAttempt","totalCorrect","meanResponseTime","percCorrect"
"399",59,2,4,4,1858.77499999106,1
"400",59,3,5,4,1587.58000000119,0.8
"401",59,4,2,2,1162.70000000298,1
"402",59,5,2,2,1320.29999999702,1
"403",59,6,1,1,1221.40000000596,1
"404",59,7,1,1,1425.19999998808,1
"405",59,8,1,1,973.5,1
"406",59,9,1,1,1326.30000001192,1
"407",59,10,1,1,3115.5,1
"408",60,1,4,0,36935.35,0
"409",60,2,5,4,20644.12,0.8
"410",60,3,9,5,16965.4555555556,0.555555555555556
"411",60,4,8,6,5120.3,0.75
"412",60,5,7,7,4478.81428571429,1
"413",60,6,3,3,3165.83333333333,1
"414",60,7,1,1,2588.2,1
"415",60,8,1,1,3306.7,1
"416",60,9,1,1,2840.5,1
"417",60,10,1,1,4991.6,1
"418",61,2,11,0,4403.03636362336,0
"419",61,3,11,11,3248.13636361469,1
"420",61,4,12,12,1772.40833328168,1
"421",61,5,1,1,1928.20000004768,1
"422",61,6,1,1,1155.90000009537,1
"423",61,7,1,1,1309.10000014305,1
"424",61,8,1,1,1509.29999995232,1
"425",61,9,1,1,2106.59999990463,1
"426",61,10,1,1,3286.60000014305,1
"427",62,1,12,2,5107.66666666667,0.166666666666667
"428",62,2,10,10,2214.9,1
"429",62,3,11,11,1937.54545454545,1
"430",62,4,1,1,1441,1
"431",62,5,1,1,1147,1
"432",62,6,1,1,1337,1
"433",62,7,1,1,1319,1
"434",62,8,1,1,1293,1
"435",62,9,1,1,1171,1
"436",62,10,1,1,1836,1
"437",63,1,18,12,4179.23888888889,0.666666666666667
"438",63,2,7,6,1996.27142857143,0.857142857142857
"439",63,3,7,7,1816.35714285714,1
"440",63,4,2,2,1544.5,1
"441",63,5,1,1,1592.9,1
"442",63,6,1,1,1591.4,1
"443",63,7,1,1,1691,1
"444",63,8,1,1,2252.5,1
"445",63,9,1,1,1076.7,1
"446",63,10,1,1,3505.9,1
"447",65,1,5,1,7234.38,0.2
"448",65,2,7,4,5004.14285714286,0.571428571428571
"449",65,3,10,7,3477.63,0.7
