Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,firstName,firstName-text,firstName-quantised,middleName,middleName-text,middleName-quantised,birthPlace,birthPlace-text,birthPlace-quantised,height,height-text,height-quantised,dob-year,dob-month,dob-day,dob-inmonths,Handedness,Handedness-text,Handedness-quantised,END QUESTIONNAIRE
1,1667560708450,04/11/2022 11:18:28,1667560708342,1,04/11/2022 12:18:28,102467,5,questionnaire-u67w,,24995191,52,7369225,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1440x900,1440x820,,demographicsLab,1,,,,preTest,168,No,a,,1,b,,2,o,,15,"5'5"" - 5'6""",,4,,,,267,Right,,2,72606
1,1668465513277,14/11/2022 22:38:33,1668465518894,1,14/11/2022 23:38:38,102467,5,questionnaire-u67w,,25240100,65,7435944,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1711x865,1707x860,,demographicsLab,1,,,,preTest,178,No,k,,11,I do not have a middle name,,27,k,,11,"5'9"" - 5'10""",,6,,,,243,Right,,2,43708
1,1671017812345,14/12/2022 11:36:52,1671017812247,1,14/12/2022 12:36:52,102467,5,questionnaire-u67w,,25948130,71,7636780,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x609,,demographicsLab,1,,,,preTest,173,No,b,,2,I do not have a middle name,,27,o,,15,"5'7"" - 5'8""",,5,,,,8,Right,,2,126464
1,1669383662784,25/11/2022 13:41:02,1669383662900,1,25/11/2022 14:41:02,102467,5,questionnaire-u67w,,25477557,70,7479146,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1219x593,,demographicsLab,1,,,,preTest,183,No,m,,13,I do not have a middle name,,27,h,,8,"5'11"" - 6'0""",,7,,,,811,Right,,2,162690
1,1669378561602,25/11/2022 12:16:01,1669378561500,1,25/11/2022 13:16:01,102467,5,questionnaire-u67w,,25475824,69,7475581,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.56,1280x720,1233x609,,demographicsLab,1,,,,preTest,188,No,m,,13,k,,11,k,,11,"6'1"" - 6'2""",,8,,,,249,Right,,2,63466
1,1669044591075,21/11/2022 15:29:51,1669044592503,1,21/11/2022 16:29:52,102467,5,questionnaire-u67w,,25377071,67,7475580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1440x900,1440x781,,demographicsLab,1,,,,preTest,168,No,i,,9,l,,12,h,,8,"5'5"" - 5'6""",,4,,,,382,Right,,2,52088
1,1669044380679,21/11/2022 15:26:20,1669044380546,1,21/11/2022 16:26:20,102467,5,questionnaire-u67w,,25376865,68,7475579,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1680x829,,demographicsLab,1,,,,preTest,178,No,h,,8,b,,2,h,,8,"5'9"" - 5'10""",,6,,,,410,Right,,2,47975
1,1668517741714,15/11/2022 13:09:01,1668517741593,1,15/11/2022 14:09:01,102467,5,questionnaire-u67w,,25248392,66,7438382,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,877x412,,demographicsLab,1,,,,preTest,178,No,w,,23,k,,11,k,,11,"5'9"" - 5'10""",,6,,,,374,Right,,2,119128
1,1668423801519,14/11/2022 11:03:21,1668423826105,1,14/11/2022 12:03:46,102467,5,questionnaire-u67w,,25220992,15,7339231,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x601,,demographicsLab,1,,,,preTest,173,No,p,,16,c,,3,k,,11,"5'7"" - 5'8""",,5,,,,285,Right,,2,103248
1,1668168778237,11/11/2022 12:12:58,1668168779417,1,11/11/2022 13:12:59,102467,5,questionnaire-u67w,,25184905,63,7429621,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,demographicsLab,1,,onlineFirst,178,no_preTest,,No,o,,15,I do not have a middle name,,27,s,,19,"5'9"" - 5'10""",,6,,,,335,Right,,2,111579
